,year,region,total,men,women
0,2000.0,Auvergne-Rhône-Alpes,7000751.0,3410563.0,3590188.0
1,2000.0,Bourgogne-Franche-Comté,2734330.0,1335444.0,1398886.0
2,2000.0,Bretagne,2927612.0,1421199.0,1506413.0
3,2000.0,Centre-Val-de-Loire,2450121.0,1195208.0,1254913.0
4,2000.0,Corse,264539.0,128957.0,135582.0
5,2000.0,Grand Est,5400871.0,2641298.0,2759573.0
6,2000.0,Hauts-de-France,5860802.0,2848926.0,3011876.0
7,2000.0,Île-de-France,11019991.0,5332244.0,5687747.0
8,2000.0,Normandie,3211503.0,1560358.0,1651145.0
9,2000.0,Nouvelle-Aquitaine,5296850.0,2559733.0,2737117.0
10,2000.0,Occitanie,4900326.0,2371973.0,2528353.0
11,2000.0,Pays de la Loire,3248994.0,1584175.0,1664819.0
12,2000.0,Provence-Alpes-Côted'Azur,4541508.0,2175903.0,2365605.0
13,2000.0,France métropolitaine,58858198.0,28565981.0,30292217.0
14,2000.0,Guadeloupe,388045.0,185396.0,202649.0
15,2000.0,Martinique,383575.0,181475.0,202100.0
16,2000.0,Guyane,162018.0,81393.0,80625.0
17,2000.0,La Réunion,716314.0,351555.0,364759.0
18,2000.0,DOM,1649952.0,799819.0,850133.0
19,2000.0,France métropolitaine et DOM,60508150.0,29365800.0,31142350.0
20,2001.0,Auvergne-Rhône-Alpes,7057821.0,3437566.0,3620255.0
21,2001.0,Bourgogne-Franche-Comté,2742346.0,1338469.0,1403877.0
22,2001.0,Bretagne,2954324.0,1434145.0,1520179.0
23,2001.0,Centre-Val-de-Loire,2461778.0,1200228.0,1261550.0
24,2001.0,Corse,269273.0,131197.0,138076.0
25,2001.0,Grand Est,5416747.0,2648034.0,2768713.0
26,2001.0,Hauts-de-France,5869901.0,2850776.0,3019125.0
27,2001.0,Île-de-France,11102824.0,5370707.0,5732117.0
28,2001.0,Normandie,3221806.0,1563847.0,1657959.0
29,2001.0,Nouvelle-Aquitaine,5340843.0,2579814.0,2761029.0
30,2001.0,Occitanie,4962851.0,2400759.0,2562092.0
31,2001.0,Pays de la Loire,3281679.0,1599741.0,1681938.0
32,2001.0,Provence-Alpes-Côted'Azur,4584379.0,2194523.0,2389856.0
33,2001.0,France métropolitaine,59266572.0,28749806.0,30516766.0
34,2001.0,Guadeloupe,390672.0,186164.0,204508.0
35,2001.0,Martinique,386542.0,182334.0,204208.0
36,2001.0,Guyane,168614.0,84542.0,84072.0
37,2001.0,La Réunion,729010.0,357171.0,371839.0
38,2001.0,DOM,1674838.0,810211.0,864627.0
39,2001.0,France métropolitaine et DOM,60941410.0,29560017.0,31381393.0
40,2002.0,Auvergne-Rhône-Alpes,7115944.0,3464799.0,3651145.0
41,2002.0,Bourgogne-Franche-Comté,2749892.0,1341369.0,1408523.0
42,2002.0,Bretagne,2981765.0,1447224.0,1534541.0
43,2002.0,Centre-Val-de-Loire,2472978.0,1204878.0,1268100.0
44,2002.0,Corse,274093.0,133448.0,140645.0
45,2002.0,Grand Est,5432715.0,2654928.0,2777787.0
46,2002.0,Hauts-de-France,5879893.0,2853417.0,3026476.0
47,2002.0,Île-de-France,11185563.0,5409116.0,5776447.0
48,2002.0,Normandie,3231900.0,1567057.0,1664843.0
49,2002.0,Nouvelle-Aquitaine,5386308.0,2600622.0,2785686.0
50,2002.0,Occitanie,5030703.0,2432195.0,2598508.0
51,2002.0,Pays de la Loire,3314649.0,1615448.0,1699201.0
52,2002.0,Provence-Alpes-Côted'Azur,4629496.0,2214503.0,2414993.0
53,2002.0,France métropolitaine,59685899.0,28939004.0,30746895.0
54,2002.0,Guadeloupe,393024.0,186827.0,206197.0
55,2002.0,Martinique,389302.0,183149.0,206153.0
56,2002.0,Guyane,176638.0,88372.0,88266.0
57,2002.0,La Réunion,740207.0,361981.0,378226.0
58,2002.0,DOM,1699171.0,820329.0,878842.0
59,2002.0,France métropolitaine et DOM,61385070.0,29759333.0,31625737.0
60,2003.0,Auvergne-Rhône-Alpes,7173919.0,3492239.0,3681680.0
61,2003.0,Bourgogne-Franche-Comté,2756739.0,1343941.0,1412798.0
62,2003.0,Bretagne,3009249.0,1460571.0,1548678.0
63,2003.0,Centre-Val-de-Loire,2484288.0,1209734.0,1274554.0
64,2003.0,Corse,279027.0,135747.0,143280.0
65,2003.0,Grand Est,5446445.0,2660772.0,2785673.0
66,2003.0,Hauts-de-France,5887707.0,2854849.0,3032858.0
67,2003.0,Île-de-France,11270074.0,5448524.0,5821550.0
68,2003.0,Normandie,3240840.0,1569796.0,1671044.0
69,2003.0,Nouvelle-Aquitaine,5431745.0,2621715.0,2810030.0
70,2003.0,Occitanie,5099077.0,2463851.0,2635226.0
71,2003.0,Pays de la Loire,3347675.0,1631258.0,1716417.0
72,2003.0,Provence-Alpes-Côted'Azur,4675056.0,2234814.0,2440242.0
73,2003.0,France métropolitaine,60101841.0,29127811.0,30974030.0
74,2003.0,Guadeloupe,394881.0,187151.0,207730.0
75,2003.0,Martinique,391676.0,183735.0,207941.0
76,2003.0,Guyane,184792.0,92273.0,92519.0
77,2003.0,La Réunion,750840.0,366374.0,384466.0
78,2003.0,DOM,1722189.0,829533.0,892656.0
79,2003.0,France métropolitaine et DOM,61824030.0,29957344.0,31866686.0
80,2004.0,Auvergne-Rhône-Alpes,7231833.0,3519883.0,3711950.0
81,2004.0,Bourgogne-Franche-Comté,2762934.0,1346391.0,1416543.0
82,2004.0,Bretagne,3037077.0,1474225.0,1562852.0
83,2004.0,Centre-Val-de-Loire,2494279.0,1214167.0,1280112.0
84,2004.0,Corse,283972.0,138054.0,145918.0
85,2004.0,Grand Est,5458878.0,2666070.0,2792808.0
86,2004.0,Hauts-de-France,5893957.0,2855930.0,3038027.0
87,2004.0,Île-de-France,11350290.0,5485818.0,5864472.0
88,2004.0,Normandie,3249220.0,1572491.0,1676729.0
89,2004.0,Nouvelle-Aquitaine,5476513.0,2642237.0,2834276.0
90,2004.0,Occitanie,5167552.0,2495776.0,2671776.0
91,2004.0,Pays de la Loire,3379784.0,1646839.0,1732945.0
92,2004.0,Provence-Alpes-Côted'Azur,4719132.0,2254791.0,2464341.0
93,2004.0,France métropolitaine,60505421.0,29312672.0,31192749.0
94,2004.0,Guadeloupe,396992.0,187603.0,209389.0
95,2004.0,Martinique,393852.0,184303.0,209549.0
96,2004.0,Guyane,193167.0,96300.0,96867.0
97,2004.0,La Réunion,761630.0,371055.0,390575.0
98,2004.0,DOM,1745641.0,839261.0,906380.0
99,2004.0,France métropolitaine et DOM,62251062.0,30151933.0,32099129.0
100,2005.0,Auvergne-Rhône-Alpes,7295515.0,3549211.0,3746304.0
101,2005.0,Bourgogne-Franche-Comté,2771934.0,1349525.0,1422409.0
102,2005.0,Bretagne,3066585.0,1488490.0,1578095.0
103,2005.0,Centre-Val-de-Loire,2507246.0,1219529.0,1287717.0
104,2005.0,Corse,289092.0,140447.0,148645.0
105,2005.0,Grand Est,5475270.0,2672623.0,2802647.0
106,2005.0,Hauts-de-France,5904641.0,2858868.0,3045773.0
107,2005.0,Île-de-France,11442143.0,5527207.0,5914936.0
108,2005.0,Normandie,3259102.0,1575674.0,1683428.0
109,2005.0,Nouvelle-Aquitaine,5526990.0,2665474.0,2861516.0
110,2005.0,Occitanie,5240791.0,2529855.0,2710936.0
111,2005.0,Pays de la Loire,3415391.0,1663690.0,1751701.0
112,2005.0,Provence-Alpes-Côted'Azur,4768564.0,2276768.0,2491796.0
113,2005.0,France métropolitaine,60963264.0,29517361.0,31445903.0
114,2005.0,Guadeloupe,399178.0,188158.0,211020.0
115,2005.0,Martinique,395982.0,184841.0,211141.0
116,2005.0,Guyane,199206.0,99223.0,99983.0
117,2005.0,La Réunion,772907.0,376009.0,396898.0
118,2005.0,DOM,1767273.0,848231.0,919042.0
119,2005.0,France métropolitaine et DOM,62730537.0,30365592.0,32364945.0
120,2006.0,Auvergne-Rhône-Alpes,7357284.0,3577680.0,3779604.0
121,2006.0,Bourgogne-Franche-Comté,2779461.0,1353959.0,1425502.0
122,2006.0,Bretagne,3094534.0,1501294.0,1593240.0
123,2006.0,Centre-Val-de-Loire,2519567.0,1224184.0,1295383.0
124,2006.0,Corse,294118.0,143084.0,151034.0
125,2006.0,Grand Est,5490092.0,2677980.0,2812112.0
126,2006.0,Hauts-de-France,5912999.0,2861075.0,3051924.0
127,2006.0,Île-de-France,11532398.0,5570241.0,5962157.0
128,2006.0,Normandie,3267848.0,1579337.0,1688511.0
129,2006.0,Nouvelle-Aquitaine,5574821.0,2686595.0,2888226.0
130,2006.0,Occitanie,5310966.0,2562734.0,2748232.0
131,2006.0,Pays de la Loire,3450413.0,1680585.0,1769828.0
132,2006.0,Provence-Alpes-Côted'Azur,4815232.0,2295663.0,2519569.0
133,2006.0,France métropolitaine,61399733.0,29714411.0,31685322.0
134,2006.0,Guadeloupe,400736.0,188772.0,211964.0
135,2006.0,Martinique,397732.0,185619.0,212113.0
136,2006.0,Guyane,205954.0,102032.0,103922.0
137,2006.0,La Réunion,781962.0,379210.0,402752.0
138,2006.0,DOM,1786384.0,855633.0,930751.0
139,2006.0,France métropolitaine et DOM,63186117.0,30570044.0,32616073.0
140,2007.0,Auvergne-Rhône-Alpes,7405206.0,3600760.0,3804446.0
141,2007.0,Bourgogne-Franche-Comté,2792562.0,1360927.0,1431635.0
142,2007.0,Bretagne,3120288.0,1514671.0,1605617.0
143,2007.0,Centre-Val-de-Loire,2526919.0,1228011.0,1298908.0
144,2007.0,Corse,299209.0,145635.0,153574.0
145,2007.0,Grand Est,5506616.0,2686710.0,2819906.0
146,2007.0,Hauts-de-France,5922030.0,2867834.0,3054196.0
147,2007.0,Île-de-France,11598866.0,5602411.0,5996455.0
148,2007.0,Normandie,3278145.0,1585457.0,1692688.0
149,2007.0,Nouvelle-Aquitaine,5627671.0,2713176.0,2914495.0
150,2007.0,Occitanie,5371117.0,2593477.0,2777640.0
151,2007.0,Pays de la Loire,3482594.0,1697147.0,1785447.0
152,2007.0,Provence-Alpes-Côted'Azur,4864015.0,2321362.0,2542653.0
153,2007.0,France métropolitaine,61795238.0,29917578.0,31877660.0
154,2007.0,Guadeloupe,400584.0,188325.0,212259.0
155,2007.0,Martinique,397730.0,184970.0,212760.0
156,2007.0,Guyane,213031.0,105546.0,107485.0
157,2007.0,La Réunion,794107.0,385335.0,408772.0
158,2007.0,DOM,1805452.0,864176.0,941276.0
159,2007.0,France métropolitaine et DOM,63600690.0,30781754.0,32818936.0
160,2008.0,Auvergne-Rhône-Alpes,7459092.0,3628373.0,3830719.0
161,2008.0,Bourgogne-Franche-Comté,2802519.0,1365513.0,1437006.0
162,2008.0,Bretagne,3149701.0,1529468.0,1620233.0
163,2008.0,Centre-Val-de-Loire,2531588.0,1230640.0,1300948.0
164,2008.0,Corse,302966.0,147832.0,155134.0
165,2008.0,Grand Est,5521452.0,2693221.0,2828231.0
166,2008.0,Hauts-de-France,5931091.0,2872438.0,3058653.0
167,2008.0,Île-de-France,11659260.0,5631385.0,6027875.0
168,2008.0,Normandie,3293092.0,1591747.0,1701345.0
169,2008.0,Nouvelle-Aquitaine,5671076.0,2732901.0,2938175.0
170,2008.0,Occitanie,5419946.0,2619187.0,2800759.0
171,2008.0,Pays de la Loire,3510170.0,1710307.0,1799863.0
172,2008.0,Provence-Alpes-Côted'Azur,4882913.0,2331735.0,2551178.0
173,2008.0,France métropolitaine,62134866.0,30084747.0,32050119.0
174,2008.0,Guadeloupe,401784.0,188389.0,213395.0
175,2008.0,Martinique,397693.0,184437.0,213256.0
176,2008.0,Guyane,219266.0,108673.0,110593.0
177,2008.0,La Réunion,808250.0,392041.0,416209.0
178,2008.0,DOM,1826993.0,873540.0,953453.0
179,2008.0,France métropolitaine et DOM,63961859.0,30958287.0,33003572.0
180,2009.0,Auvergne-Rhône-Alpes,7518004.0,3658116.0,3859888.0
181,2009.0,Bourgogne-Franche-Comté,2810648.0,1369837.0,1440811.0
182,2009.0,Bretagne,3175064.0,1541358.0,1633706.0
183,2009.0,Centre-Val-de-Loire,2538590.0,1233806.0,1304784.0
184,2009.0,Corse,305674.0,149514.0,156160.0
185,2009.0,Grand Est,5531118.0,2697718.0,2833400.0
186,2009.0,Hauts-de-France,5944354.0,2880018.0,3064336.0
187,2009.0,Île-de-France,11728240.0,5661771.0,6066469.0
188,2009.0,Normandie,3303822.0,1597185.0,1706637.0
189,2009.0,Nouvelle-Aquitaine,5708497.0,2751618.0,2956879.0
190,2009.0,Occitanie,5473597.0,2646299.0,2827298.0
191,2009.0,Pays de la Loire,3539048.0,1724639.0,1814409.0
192,2009.0,Provence-Alpes-Côted'Azur,4889053.0,2335555.0,2553498.0
193,2009.0,France métropolitaine,62465709.0,30247434.0,32218275.0
194,2009.0,Guadeloupe,401554.0,187867.0,213687.0
195,2009.0,Martinique,396404.0,183655.0,212749.0
196,2009.0,Guyane,224469.0,111201.0,113268.0
197,2009.0,La Réunion,816364.0,395688.0,420676.0
198,2009.0,DOM,1838791.0,878411.0,960380.0
199,2009.0,France métropolitaine et DOM,64304500.0,31125845.0,33178655.0
200,2010.0,Auvergne-Rhône-Alpes,7578078.0,3688963.0,3889115.0
201,2010.0,Bourgogne-Franche-Comté,2813878.0,1371655.0,1442223.0
202,2010.0,Bretagne,3199066.0,1553248.0,1645818.0
203,2010.0,Centre-Val-de-Loire,2548065.0,1238673.0,1309392.0
204,2010.0,Corse,309693.0,151633.0,158060.0
205,2010.0,Grand Est,5532530.0,2698974.0,2833556.0
206,2010.0,Hauts-de-France,5953001.0,2884386.0,3068615.0
207,2010.0,Île-de-France,11786234.0,5691234.0,6095000.0
208,2010.0,Normandie,3310448.0,1601032.0,1709416.0
209,2010.0,Nouvelle-Aquitaine,5745486.0,2769626.0,2975860.0
210,2010.0,Occitanie,5518106.0,2668025.0,2850081.0
211,2010.0,Pays de la Loire,3571495.0,1739864.0,1831631.0
212,2010.0,Provence-Alpes-Côted'Azur,4899155.0,2340637.0,2558518.0
213,2010.0,France métropolitaine,62765235.0,30397950.0,32367285.0
214,2010.0,Guadeloupe,403355.0,187912.0,215443.0
215,2010.0,Martinique,394173.0,182110.0,212063.0
216,2010.0,Guyane,229040.0,113607.0,115433.0
217,2010.0,La Réunion,821136.0,397953.0,423183.0
218,2010.0,DOM,1847704.0,881582.0,966122.0
219,2010.0,France métropolitaine et DOM,64612939.0,31279532.0,33333407.0
220,2011.0,Auvergne-Rhône-Alpes,7634223.0,3716132.0,3918091.0
221,2011.0,Bourgogne-Franche-Comté,2816174.0,1372836.0,1443338.0
222,2011.0,Bretagne,3217767.0,1563341.0,1654426.0
223,2011.0,Centre-Val-de-Loire,2556835.0,1242058.0,1314777.0
224,2011.0,Corse,314486.0,154075.0,160411.0
225,2011.0,Grand Est,5539035.0,2703035.0,2836000.0
226,2011.0,Hauts-de-France,5960170.0,2888235.0,3071935.0
227,2011.0,Île-de-France,11852851.0,5725491.0,6127360.0
228,2011.0,Normandie,3315077.0,1603920.0,1711157.0
229,2011.0,Nouvelle-Aquitaine,5773078.0,2783870.0,2989208.0
230,2011.0,Occitanie,5573466.0,2695768.0,2877698.0
231,2011.0,Pays de la Loire,3601113.0,1754154.0,1846959.0
232,2011.0,Provence-Alpes-Côted'Azur,4916069.0,2350713.0,2565356.0
233,2011.0,France métropolitaine,63070344.0,30553628.0,32516716.0
234,2011.0,Guadeloupe,404635.0,187782.0,216853.0
235,2011.0,Martinique,392291.0,180676.0,211615.0
236,2011.0,Guyane,237549.0,117732.0,119817.0
237,2011.0,La Réunion,828581.0,401139.0,427442.0
238,2011.0,DOM,1863056.0,887329.0,975727.0
239,2011.0,France métropolitaine et DOM,64933400.0,31440957.0,33492443.0
