Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:32;00:09:46;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:32;00:09:46;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:00;00:10:54;00:00:00;
France2;Candidat;00:09:57;00:00:22;00:31:40;00:00:00;
France2;Soutiens;00:00:04;00:00:00;00:00:26;00:00:00;
France2;"Total temps de parole";00:10:01;00:00:22;00:32:06;00:00:00;
France2;"Total temps d'antenne";00:11:17;00:00:48;00:35:53;00:00:00;
France3;Candidat;00:00:00;00:00:45;00:00:53;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:40;00:01:19;00:00:00;
France5;Candidat;00:00:00;00:01:30;00:05:07;00:02:32;
France5;Soutiens;00:00:00;00:00:00;00:00:02;00:00:02;
France5;"Total temps de parole";00:00:00;00:01:30;00:05:09;00:02:34;
France5;"Total temps d'antenne";00:00:00;00:02:11;00:07:01;00:03:22;
M6;Candidat;00:00:00;00:00:53;00:00:58;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:53;00:00:58;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:25;00:03:49;00:00:00;
C8;Candidat;00:00:00;00:00:55;00:09:04;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:55;00:09:04;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:05;00:13:35;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:17:29;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:50;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:18:19;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:41:36;00:00:00;
BFMTV;Candidat;00:26:33;00:09:54;00:10:04;00:03:20;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:26:33;00:09:54;00:10:04;00:03:20;
BFMTV;"Total temps d'antenne";00:29:31;00:16:09;00:12:34;00:03:59;
Cnews;Candidat;00:17:21;00:14:39;00:08:39;00:07:52;
Cnews;Soutiens;00:00:00;00:18:16;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:17:21;00:32:55;00:08:39;00:07:52;
Cnews;"Total temps d'antenne";00:25:05;01:03:25;00:42:36;00:23:42;
LCI;Candidat;00:25:49;00:25:44;00:30:36;00:00:00;
LCI;Soutiens;00:00:00;01:04:18;00:00:00;00:00:00;
LCI;"Total temps de parole";00:25:49;01:30:02;00:30:36;00:00:00;
LCI;"Total temps d'antenne";00:35:54;02:08:14;01:17:44;00:00:00;
FranceinfoTV;Candidat;00:23:24;01:09:20;00:14:30;00:03:33;
FranceinfoTV;Soutiens;00:07:59;00:07:59;00:10:54;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:23;01:17:19;00:25:24;00:03:33;
FranceinfoTV;"Total temps d'antenne";00:35:53;01:54:38;00:54:09;00:12:06;
FranceInter;Candidat;00:22:07;00:03:19;00:03:07;00:01:17;
FranceInter;Soutiens;00:00:13;00:01:21;00:00:00;00:00:37;
FranceInter;"Total temps de parole";00:22:20;00:04:40;00:03:07;00:01:54;
FranceInter;"Total temps d'antenne";00:28:43;00:10:41;00:11:56;00:03:44;
FranceInfo;Candidat;00:22:32;00:26:46;00:12:10;00:05:13;
FranceInfo;Soutiens;00:00:37;00:01:11;00:06:47;00:02:17;
FranceInfo;"Total temps de parole";00:23:09;00:27:57;00:18:57;00:07:30;
FranceInfo;"Total temps d'antenne";00:35:40;01:03:45;00:52:15;00:23:05;
FranceCulture;Candidat;00:00:30;00:04:50;00:01:02;00:00:00;
FranceCulture;Soutiens;00:00:21;00:00:00;00:00:14;00:00:00;
FranceCulture;"Total temps de parole";00:00:51;00:04:50;00:01:16;00:00:00;
FranceCulture;"Total temps d'antenne";00:07:25;00:04:56;00:02:44;00:00:00;
RTL;Candidat;00:19:19;00:04:44;00:03:12;00:03:02;
RTL;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:19:19;00:04:44;00:03:12;00:03:02;
RTL;"Total temps d'antenne";00:40:26;00:23:40;00:16:29;00:05:10;
Europe1;Candidat;00:29:54;00:00:38;00:07:52;00:01:55;
Europe1;Soutiens;00:00:00;00:18:58;00:00:00;00:00:00;
Europe1;"Total temps de parole";00:29:54;00:19:36;00:07:52;00:01:55;
Europe1;"Total temps d'antenne";00:29:54;00:20:24;00:07:52;00:04:00;
RMC;Candidat;00:26:20;00:04:17;00:00:00;00:05:50;
RMC;Soutiens;00:09:35;00:00:31;00:00:00;00:01:48;
RMC;"Total temps de parole";00:35:55;00:04:48;00:00:00;00:07:38;
RMC;"Total temps d'antenne";00:39:58;00:08:26;00:00:00;00:10:39;
RadioClassique;Candidat;00:01:08;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:21;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:01:29;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:25:27;00:01:19;00:00:00;00:18:30;
SudRadio;Candidat;00:00:28;00:00:45;00:00:10;00:00:00;
SudRadio;Soutiens;00:13:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:28;00:00:45;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:17:55;00:03:20;00:02:20;00:00:00;
TV5Monde;Candidat;00:09:57;00:00:00;00:31:40;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:04;00:00:26;00:00:00;
TV5Monde;"Total temps de parole";00:09:57;00:00:04;00:32:06;00:00:00;
TV5Monde;"Total temps d'antenne";00:11:03;00:00:14;00:35:53;00:00:00;
RFI;Candidat;00:04:18;00:07:48;00:02:14;00:05:33;
RFI;Soutiens;00:09:07;00:01:28;00:00:00;00:00:00;
RFI;"Total temps de parole";00:13:25;00:09:16;00:02:14;00:05:33;
RFI;"Total temps d'antenne";00:15:36;00:12:27;00:05:35;00:10:11;
France24;Candidat;00:03:09;00:07:37;00:04:02;00:03:21;
France24;Soutiens;00:00:00;00:00:00;00:00:39;00:00:00;
France24;"Total temps de parole";00:03:09;00:07:37;00:04:41;00:03:21;
France24;"Total temps d'antenne";00:07:51;00:22:54;00:19:50;00:11:32;
"RMC Story";Candidat;00:02:05;00:03:15;00:00:00;00:00:00;
"RMC Story";Soutiens;00:11:32;00:00:31;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:13:37;00:03:46;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:18:15;00:07:24;00:00:00;00:00:00;
